Location ID,Date,Hour,Gross Revenue,Net Revenue,Order Count
LZX5X6V4QY6MJ,2026-02-05,9,37.5,31.5,6
LZX5X6V4QY6MJ,2026-02-05,10,95.0,94.3,12
LZX5X6V4QY6MJ,2026-02-05,11,149.0,145.35,15
LZX5X6V4QY6MJ,2026-02-05,12,112.5,100.5,11
LZX5X6V4QY6MJ,2026-02-05,13,204.95,196.0,26
LZX5X6V4QY6MJ,2026-02-05,14,185.0,179.0,22
LZX5X6V4QY6MJ,2026-02-05,15,144.0,136.85,22
LZX5X6V4QY6MJ,2026-02-05,16,241.45,237.06,26
LZX5X6V4QY6MJ,2026-02-05,17,133.45,143.35,17
LZX5X6V4QY6MJ,2026-02-05,18,107.4,83.8,11
LZX5X6V4QY6MJ,2026-02-05,19,20.0,20.0,3
