Location ID,Date,Hour,Gross Revenue,Net Revenue,Order Count
LZX5X6V4QY6MJ,2026-01-16,9,75.0,82.05,10
LZX5X6V4QY6MJ,2026-01-16,10,120.5,109.7,17
LZX5X6V4QY6MJ,2026-01-16,11,138.5,124.5,19
LZX5X6V4QY6MJ,2026-01-16,12,237.0,244.35,28
LZX5X6V4QY6MJ,2026-01-16,13,253.5,234.25,36
LZX5X6V4QY6MJ,2026-01-16,14,343.95,351.8,38
LZX5X6V4QY6MJ,2026-01-16,15,308.95,276.9,28
LZX5X6V4QY6MJ,2026-01-16,16,286.0,271.0,19
LZX5X6V4QY6MJ,2026-01-16,17,292.45,273.25,23
LZX5X6V4QY6MJ,2026-01-16,18,92.0,76.0,10
LZX5X6V4QY6MJ,2026-01-16,19,82.5,77.0,13
