Location ID,Date,Hour,Gross Revenue,Net Revenue,Order Count
LZX5X6V4QY6MJ,2025-10-04,9,26.5,28.25,5
LZX5X6V4QY6MJ,2025-10-04,10,202.0,204.65,23
LZX5X6V4QY6MJ,2025-10-04,11,295.0,305.85,41
LZX5X6V4QY6MJ,2025-10-04,12,317.5,332.5,47
LZX5X6V4QY6MJ,2025-10-04,13,383.5,383.55,45
LZX5X6V4QY6MJ,2025-10-04,14,583.0,602.9,68
LZX5X6V4QY6MJ,2025-10-04,15,389.0,409.25,52
LZX5X6V4QY6MJ,2025-10-04,16,511.5,525.3,50
LZX5X6V4QY6MJ,2025-10-04,17,373.0,383.35,45
LZX5X6V4QY6MJ,2025-10-04,18,355.0,356.6,41
LZX5X6V4QY6MJ,2025-10-04,19,145.5,149.9,16
