Location ID,Date,Hour,Gross Revenue,Net Revenue,Order Count
LZX5X6V4QY6MJ,2026-03-03,9,94.95,98.8,14
LZX5X6V4QY6MJ,2026-03-03,10,75.95,75.45,12
LZX5X6V4QY6MJ,2026-03-03,11,268.45,278.2,30
LZX5X6V4QY6MJ,2026-03-03,12,272.95,277.25,38
LZX5X6V4QY6MJ,2026-03-03,13,344.9,324.35,42
LZX5X6V4QY6MJ,2026-03-03,14,282.5,262.4,36
LZX5X6V4QY6MJ,2026-03-03,15,255.0,261.55,36
LZX5X6V4QY6MJ,2026-03-03,16,238.45,238.65,36
LZX5X6V4QY6MJ,2026-03-03,17,282.45,270.55,25
LZX5X6V4QY6MJ,2026-03-03,18,110.0,106.35,13
LZX5X6V4QY6MJ,2026-03-03,19,125.0,124.0,20
