Location ID,Date,Hour,Gross Revenue,Net Revenue,Order Count
LZX5X6V4QY6MJ,2025-10-10,9,89.0,72.5,11
LZX5X6V4QY6MJ,2025-10-10,10,152.0,148.95,19
LZX5X6V4QY6MJ,2025-10-10,11,142.5,146.0,21
LZX5X6V4QY6MJ,2025-10-10,12,278.0,273.45,33
LZX5X6V4QY6MJ,2025-10-10,13,484.5,410.05,50
LZX5X6V4QY6MJ,2025-10-10,14,413.5,397.2,44
LZX5X6V4QY6MJ,2025-10-10,15,432.0,414.35,45
LZX5X6V4QY6MJ,2025-10-10,16,338.0,304.2,37
LZX5X6V4QY6MJ,2025-10-10,17,378.0,374.45,38
LZX5X6V4QY6MJ,2025-10-10,18,206.5,192.5,26
LZX5X6V4QY6MJ,2025-10-10,19,72.0,62.0,9
