Location ID,Date,Hour,Gross Revenue,Net Revenue,Order Count
LZX5X6V4QY6MJ,2026-03-11,9,77.45,78.55,12
LZX5X6V4QY6MJ,2026-03-11,10,171.45,159.8,21
LZX5X6V4QY6MJ,2026-03-11,11,191.5,182.1,31
LZX5X6V4QY6MJ,2026-03-11,12,273.0,234.35,34
LZX5X6V4QY6MJ,2026-03-11,13,365.0,356.35,49
LZX5X6V4QY6MJ,2026-03-11,14,270.0,249.75,36
LZX5X6V4QY6MJ,2026-03-11,15,241.5,230.3,36
LZX5X6V4QY6MJ,2026-03-11,16,376.0,352.95,34
LZX5X6V4QY6MJ,2026-03-11,17,66.5,63.5,10
LZX5X6V4QY6MJ,2026-03-11,18,279.5,241.1,29
LZX5X6V4QY6MJ,2026-03-11,19,114.5,110.4,8
