Location ID,Date,Hour,Gross Revenue,Net Revenue,Order Count
LZX5X6V4QY6MJ,2026-03-21,9,90.85,98.85,12
LZX5X6V4QY6MJ,2026-03-21,10,242.5,242.5,27
LZX5X6V4QY6MJ,2026-03-21,11,337.45,344.15,40
LZX5X6V4QY6MJ,2026-03-21,12,360.5,359.15,45
LZX5X6V4QY6MJ,2026-03-21,13,448.4,427.3,55
LZX5X6V4QY6MJ,2026-03-21,14,568.4,554.51,62
LZX5X6V4QY6MJ,2026-03-21,15,549.5,545.7,60
LZX5X6V4QY6MJ,2026-03-21,16,514.5,514.5,60
LZX5X6V4QY6MJ,2026-03-21,17,501.45,493.9,45
LZX5X6V4QY6MJ,2026-03-21,18,380.0,386.8,44
LZX5X6V4QY6MJ,2026-03-21,19,101.45,102.0,13
