Location ID,Date,Hour,Gross Revenue,Net Revenue,Order Count
LZX5X6V4QY6MJ,2026-02-17,9,42.0,37.3,5
LZX5X6V4QY6MJ,2026-02-17,10,182.5,167.0,23
LZX5X6V4QY6MJ,2026-02-17,11,175.4,170.2,24
LZX5X6V4QY6MJ,2026-02-17,12,191.0,191.05,27
LZX5X6V4QY6MJ,2026-02-17,13,424.5,410.9,52
LZX5X6V4QY6MJ,2026-02-17,14,291.45,291.65,42
LZX5X6V4QY6MJ,2026-02-17,15,269.9,258.46,32
LZX5X6V4QY6MJ,2026-02-17,16,286.95,286.2,40
LZX5X6V4QY6MJ,2026-02-17,17,128.0,129.4,19
LZX5X6V4QY6MJ,2026-02-17,18,134.5,139.2,17
LZX5X6V4QY6MJ,2026-02-17,19,58.0,58.75,9
LZX5X6V4QY6MJ,2026-02-17,20,5.0,5.0,1
