Location ID,Date,Hour,Gross Revenue,Net Revenue,Order Count
LZX5X6V4QY6MJ,2026-01-17,9,24.5,24.85,3
LZX5X6V4QY6MJ,2026-01-17,10,111.5,109.5,16
LZX5X6V4QY6MJ,2026-01-17,11,176.0,181.85,26
LZX5X6V4QY6MJ,2026-01-17,12,248.45,252.25,25
LZX5X6V4QY6MJ,2026-01-17,13,270.0,267.7,39
LZX5X6V4QY6MJ,2026-01-17,14,501.45,478.1,65
LZX5X6V4QY6MJ,2026-01-17,15,465.4,434.25,55
LZX5X6V4QY6MJ,2026-01-17,16,400.95,401.95,42
LZX5X6V4QY6MJ,2026-01-17,17,320.4,317.55,38
LZX5X6V4QY6MJ,2026-01-17,18,225.5,219.8,26
LZX5X6V4QY6MJ,2026-01-17,19,95.0,90.75,13
