Location ID,Date,Hour,Gross Revenue,Net Revenue,Order Count
LZX5X6V4QY6MJ,2026-03-06,9,55.5,57.0,8
LZX5X6V4QY6MJ,2026-03-06,10,104.0,102.35,12
LZX5X6V4QY6MJ,2026-03-06,11,137.0,132.1,21
LZX5X6V4QY6MJ,2026-03-06,12,246.0,228.9,31
LZX5X6V4QY6MJ,2026-03-06,13,240.45,240.75,35
LZX5X6V4QY6MJ,2026-03-06,14,144.0,124.35,14
LZX5X6V4QY6MJ,2026-03-06,15,141.0,148.0,21
LZX5X6V4QY6MJ,2026-03-06,16,192.95,187.35,14
LZX5X6V4QY6MJ,2026-03-06,17,217.0,206.55,23
LZX5X6V4QY6MJ,2026-03-06,18,97.0,94.0,12
LZX5X6V4QY6MJ,2026-03-06,19,113.5,113.4,21
