Location ID,Date,Hour,Gross Revenue,Net Revenue,Order Count
LZX5X6V4QY6MJ,2025-10-06,9,68.0,71.85,10
LZX5X6V4QY6MJ,2025-10-06,10,96.0,105.75,16
LZX5X6V4QY6MJ,2025-10-06,11,315.0,323.75,41
LZX5X6V4QY6MJ,2025-10-06,12,263.5,274.0,45
LZX5X6V4QY6MJ,2025-10-06,13,316.0,330.05,49
LZX5X6V4QY6MJ,2025-10-06,14,301.0,310.7,44
LZX5X6V4QY6MJ,2025-10-06,15,371.0,381.65,49
LZX5X6V4QY6MJ,2025-10-06,16,540.5,555.5,57
LZX5X6V4QY6MJ,2025-10-06,17,316.0,334.15,47
LZX5X6V4QY6MJ,2025-10-06,18,133.0,146.95,23
LZX5X6V4QY6MJ,2025-10-06,19,106.0,110.4,8
