Location ID,Date,Hour,Gross Revenue,Net Revenue,Order Count
LZX5X6V4QY6MJ,2026-03-05,9,168.5,177.1,20
LZX5X6V4QY6MJ,2026-03-05,10,203.95,185.55,20
LZX5X6V4QY6MJ,2026-03-05,11,171.0,166.05,25
LZX5X6V4QY6MJ,2026-03-05,12,399.0,388.75,53
LZX5X6V4QY6MJ,2026-03-05,13,426.0,435.5,55
LZX5X6V4QY6MJ,2026-03-05,14,432.0,417.0,56
LZX5X6V4QY6MJ,2026-03-05,15,276.0,275.6,41
LZX5X6V4QY6MJ,2026-03-05,16,378.0,361.05,48
LZX5X6V4QY6MJ,2026-03-05,17,342.5,326.15,41
LZX5X6V4QY6MJ,2026-03-05,18,301.0,283.85,30
LZX5X6V4QY6MJ,2026-03-05,19,121.5,125.05,19
