Location ID,Date,Hour,Gross Revenue,Net Revenue,Order Count
LZX5X6V4QY6MJ,2026-01-26,9,41.5,42.5,5
LZX5X6V4QY6MJ,2026-01-26,10,97.0,100.6,15
LZX5X6V4QY6MJ,2026-01-26,11,94.0,80.1,11
LZX5X6V4QY6MJ,2026-01-26,12,269.5,250.85,35
LZX5X6V4QY6MJ,2026-01-26,13,327.5,296.7,41
LZX5X6V4QY6MJ,2026-01-26,14,170.0,164.0,25
LZX5X6V4QY6MJ,2026-01-26,15,246.0,227.3,35
LZX5X6V4QY6MJ,2026-01-26,16,152.5,154.35,22
LZX5X6V4QY6MJ,2026-01-26,17,155.0,154.05,20
LZX5X6V4QY6MJ,2026-01-26,18,110.95,111.75,10
LZX5X6V4QY6MJ,2026-01-26,19,79.5,75.25,11
LZX5X6V4QY6MJ,2026-01-26,20,4.5,5.5,1
