Location ID,Date,Hour,Gross Revenue,Net Revenue,Order Count
LZX5X6V4QY6MJ,2026-01-28,9,20.0,21.0,4
LZX5X6V4QY6MJ,2026-01-28,10,68.0,55.5,8
LZX5X6V4QY6MJ,2026-01-28,11,129.0,113.35,19
LZX5X6V4QY6MJ,2026-01-28,12,252.45,235.3,34
LZX5X6V4QY6MJ,2026-01-28,13,335.5,321.85,53
LZX5X6V4QY6MJ,2026-01-28,14,305.0,301.9,36
LZX5X6V4QY6MJ,2026-01-28,15,193.0,190.5,26
LZX5X6V4QY6MJ,2026-01-28,16,252.5,251.35,37
LZX5X6V4QY6MJ,2026-01-28,17,159.0,165.0,21
LZX5X6V4QY6MJ,2026-01-28,18,123.95,125.45,17
LZX5X6V4QY6MJ,2026-01-28,19,130.5,138.25,17
