Location ID,Date,Hour,Gross Revenue,Net Revenue,Order Count
LZX5X6V4QY6MJ,2025-10-24,9,39.5,34.5,5
LZX5X6V4QY6MJ,2025-10-24,10,128.5,126.3,15
LZX5X6V4QY6MJ,2025-10-24,11,207.5,206.65,24
LZX5X6V4QY6MJ,2025-10-24,12,289.5,299.0,32
LZX5X6V4QY6MJ,2025-10-24,13,353.5,342.6,44
LZX5X6V4QY6MJ,2025-10-24,14,429.0,405.5,43
LZX5X6V4QY6MJ,2025-10-24,15,317.0,322.05,45
LZX5X6V4QY6MJ,2025-10-24,16,363.0,353.2,48
LZX5X6V4QY6MJ,2025-10-24,17,194.5,182.7,29
LZX5X6V4QY6MJ,2025-10-24,18,206.0,210.5,25
LZX5X6V4QY6MJ,2025-10-24,19,147.0,133.35,21
