Location ID,Date,Hour,Gross Revenue,Net Revenue,Order Count
LZX5X6V4QY6MJ,2026-01-20,9,93.5,94.9,14
LZX5X6V4QY6MJ,2026-01-20,10,162.0,162.15,18
LZX5X6V4QY6MJ,2026-01-20,11,186.5,168.5,24
LZX5X6V4QY6MJ,2026-01-20,12,280.0,256.0,24
LZX5X6V4QY6MJ,2026-01-20,13,324.5,304.7,37
LZX5X6V4QY6MJ,2026-01-20,14,453.5,445.55,41
LZX5X6V4QY6MJ,2026-01-20,15,292.5,292.05,39
LZX5X6V4QY6MJ,2026-01-20,16,224.5,209.15,27
LZX5X6V4QY6MJ,2026-01-20,17,184.45,183.3,28
LZX5X6V4QY6MJ,2026-01-20,18,135.0,116.55,11
LZX5X6V4QY6MJ,2026-01-20,19,164.5,139.25,12
LZX5X6V4QY6MJ,2026-01-20,20,7.5,7.5,1
