Location ID,Date,Hour,Gross Revenue,Net Revenue,Order Count
LZX5X6V4QY6MJ,2026-02-14,9,28.5,27.0,4
LZX5X6V4QY6MJ,2026-02-14,10,209.5,212.0,25
LZX5X6V4QY6MJ,2026-02-14,11,326.0,306.9,31
LZX5X6V4QY6MJ,2026-02-14,12,472.95,428.4,42
LZX5X6V4QY6MJ,2026-02-14,13,466.9,440.6,58
LZX5X6V4QY6MJ,2026-02-14,14,551.45,514.1,61
LZX5X6V4QY6MJ,2026-02-14,15,509.0,498.95,71
LZX5X6V4QY6MJ,2026-02-14,16,561.5,542.3,61
LZX5X6V4QY6MJ,2026-02-14,17,339.95,346.1,41
LZX5X6V4QY6MJ,2026-02-14,18,271.0,273.35,35
LZX5X6V4QY6MJ,2026-02-14,19,144.5,139.5,20
