Location ID,Date,Hour,Gross Revenue,Net Revenue,Order Count
LZX5X6V4QY6MJ,2026-03-19,9,46.5,37.5,6
LZX5X6V4QY6MJ,2026-03-19,10,212.4,202.0,27
LZX5X6V4QY6MJ,2026-03-19,11,205.95,204.0,31
LZX5X6V4QY6MJ,2026-03-19,12,337.95,321.35,46
LZX5X6V4QY6MJ,2026-03-19,13,342.5,329.15,48
LZX5X6V4QY6MJ,2026-03-19,14,406.0,397.75,51
LZX5X6V4QY6MJ,2026-03-19,15,316.45,322.4,44
LZX5X6V4QY6MJ,2026-03-19,16,232.35,235.8,36
LZX5X6V4QY6MJ,2026-03-19,17,272.5,264.6,25
LZX5X6V4QY6MJ,2026-03-19,18,208.95,216.2,25
LZX5X6V4QY6MJ,2026-03-19,19,84.0,89.8,10
