Location ID,Date,Hour,Gross Revenue,Net Revenue,Order Count
LZX5X6V4QY6MJ,2026-01-13,9,22.0,18.0,3
LZX5X6V4QY6MJ,2026-01-13,10,69.5,48.5,6
LZX5X6V4QY6MJ,2026-01-13,11,165.5,156.25,15
LZX5X6V4QY6MJ,2026-01-13,12,164.0,161.5,23
LZX5X6V4QY6MJ,2026-01-13,13,162.0,152.4,23
LZX5X6V4QY6MJ,2026-01-13,14,101.45,66.85,11
LZX5X6V4QY6MJ,2026-01-13,15,166.5,140.5,18
LZX5X6V4QY6MJ,2026-01-13,16,133.0,93.7,16
LZX5X6V4QY6MJ,2026-01-13,17,69.5,69.4,11
LZX5X6V4QY6MJ,2026-01-13,18,71.5,74.5,12
LZX5X6V4QY6MJ,2026-01-13,19,28.5,17.0,3
