store,month,visitor_Bombe 1,visitor_Bombe 2,visitor_Bombe 3,visitor_Bombe 4,visitor_Bombe 5,visitor_Bombe 6,visitor_Bombe 7
borough,202507,0.11196290078362005,0.08514637716244697,0.11402703123468103,0.18006967795310455,0.10633971662346944,0.26123799608713477,0.14121630015554293
borough,202508,0.111502561303483,0.08555641113142708,0.11476945646223675,0.17899386155158176,0.10579051545472498,0.2615459155491106,0.14184127854743558
borough,202509,0.11332154971706436,0.08542065345525722,0.11360215982966781,0.18138650238910473,0.10687542415964123,0.2584927365360459,0.14090097391321846
borough,202510,0.11162513320485089,0.08528668957594163,0.11419623896208837,0.17979617798464984,0.10599187897878332,0.2617193174535772,0.14138456384010845
covent_garden,202507,0.10893236728159449,0.08455928505477121,0.11813387000294456,0.17224639829621524,0.10547428155206097,0.265319854910422,0.1453339429019913
covent_garden,202508,0.1092840373749177,0.0847770520142603,0.1186304047153715,0.17228840392424333,0.10574001544511202,0.2641114629944616,0.1451686235316333
covent_garden,202509,0.10895751991194706,0.08505489942104397,0.11861124672622106,0.17194959381240715,0.10472959170763935,0.2648642109331356,0.1458329374876055
covent_garden,202510,0.10830761072815662,0.08475167044199768,0.11838682203090588,0.17180276817654683,0.10478953868072723,0.2664798525582018,0.14548173738346368
spitalfields,202507,0.11344641056643893,0.08905709808597559,0.12209044305438459,0.169615531008165,0.10669105287829783,0.2517570875663458,0.14734237684039206
spitalfields,202508,0.11289382290591324,0.08920652568034845,0.12237738090051689,0.16871610211455354,0.10642699670433778,0.2527870712687141,0.14759210042561577
spitalfields,202509,0.1141954674430292,0.08999829257646748,0.12292643809405837,0.16925023890345922,0.10671019594188728,0.24932157601267077,0.1475977910284274
spitalfields,202510,0.11361935628564483,0.08910937879364778,0.12216865147057102,0.16983508606192554,0.10637727711110356,0.25151251170247674,0.14737773857463024
