store,month,visitor_Bombe 1,visitor_Bombe 2,visitor_Bombe 3,visitor_Bombe 4,visitor_Bombe 5,visitor_Bombe 6,visitor_Bombe 7,mean_revenue,mean_dow,population,m_202508,m_202509,m_202510
borough,202507,0.11196290078362,0.0851463771624469,0.114027031234681,0.1800696779531045,0.1063397166234694,0.2612379960871347,0.1412163001555429,3135.785806451613,2.903225806451613,331,False,False,False
borough,202508,0.111502561303483,0.085556411131427,0.1147694564622367,0.1789938615515817,0.1057905154547249,0.2615459155491106,0.1418412785474355,2483.454,3.3,331,True,False,False
borough,202509,0.1133215497170643,0.0854206534552572,0.1136021598296678,0.1813865023891047,0.1068754241596412,0.2584927365360459,0.1409009739132184,2426.2553333333335,2.8,331,False,True,False
borough,202510,0.1116251332048508,0.0852866895759416,0.1141962389620883,0.1797961779846498,0.1059918789787833,0.2617193174535772,0.1413845638401084,2434.718064516129,3.0,331,False,False,True
covent_garden,202507,0.1089323672815944,0.0845592850547712,0.1181338700029445,0.1722463982962152,0.1054742815520609,0.265319854910422,0.1453339429019913,3397.875806451613,2.903225806451613,278,False,False,False
covent_garden,202508,0.1092840373749177,0.0847770520142603,0.1186304047153715,0.1722884039242433,0.105740015445112,0.2641114629944616,0.1451686235316333,3107.3009677419354,3.193548387096774,278,True,False,False
covent_garden,202509,0.108957519911947,0.0850548994210439,0.118611246726221,0.1719495938124071,0.1047295917076393,0.2648642109331356,0.1458329374876055,2809.337,2.8333333333333335,278,False,True,False
covent_garden,202510,0.1083076107281566,0.0847516704419976,0.1183868220309058,0.1718027681765468,0.1047895386807272,0.2664798525582018,0.1454817373834636,2770.1145161290324,3.0,278,False,False,True
spitalfields,202507,0.1134464105664389,0.0890570980859755,0.1220904430543845,0.169615531008165,0.1066910528782978,0.2517570875663458,0.147342376840392,5045.31193548387,2.903225806451613,644,False,False,False
spitalfields,202508,0.1128938229059132,0.0892065256803484,0.1223773809005168,0.1687161021145535,0.1064269967043377,0.2527870712687141,0.1475921004256157,4800.9545161290325,3.193548387096774,644,True,False,False
spitalfields,202509,0.1141954674430292,0.0899982925764674,0.1229264380940583,0.1692502389034592,0.1067101959418872,0.2493215760126707,0.1475977910284274,4251.716451612903,2.967741935483871,644,False,True,False
spitalfields,202510,0.1136193562856448,0.0891093787936477,0.122168651470571,0.1698350860619255,0.1063772771111035,0.2515125117024767,0.1473777385746302,3736.157419354839,3.0,644,False,False,True
